"","gene","sgrna_id","logFC","logCPM","LR","PValue","FDR"
"RANBP1","RANBP1","RANBP1_-_20105218.23-P1P2|RANBP1_-_20105086.23-P1P2",5.30971921645447,7.58974717885718,402.065661392146,1.95555031363828e-89,2.043550077752e-85
"MAP2K4","MAP2K4","MAP2K4_-_11924225.23-P1P2|MAP2K4_+_11924171.23-P1P2",-5.76832117752897,7.56361586964227,396.855877516975,2.66303740436026e-88,1.39143704377824e-84
"MSL1","MSL1","MSL1_+_38278860.23-P1P2|MSL1_+_38278902.23-P1P2",-4.33353038255745,6.1616079532062,361.46327855645,1.3519512593695e-80,4.70929688680377e-77
"ATF2","ATF2","ATF2_+_176032892.23-P1P2|ATF2_+_176032497.23-P1P2",-4.80073567056154,7.20573819355023,298.246874404877,7.93820047517773e-67,2.07385487414018e-63
"CCNC","CCNC","CCNC_+_100016473.23-P1P2|CCNC_-_100016531.23-P1P2",4.82243795116938,7.36392823009089,297.156047308967,1.37208988622053e-66,2.86766786220091e-63
"LARP6","LARP6","LARP6_+_71146449.23-P1P2|LARP6_-_71146443.23-P1P2",4.07650194395387,7.07710844805636,259.209552871008,2.55161842000635e-58,4.44406874817773e-55
"DPH1.1","DPH1","DPH1_-_1933503.23-P1|DPH1_-_1933469.23-P1",-3.79734198522242,6.0401596559678,258.547271866717,3.55778362561119e-58,5.31126269823384e-55
"KIAA1919","KIAA1919","KIAA1919_+_111580599.23-P1P2|KIAA1919_+_111580588.23-P1P2",5.11757608562893,6.78280826784324,237.03588137448,1.74193567222663e-53,2.27540347184604e-50
"STAG3","STAG3","STAG3_+_99775559.23-P1P2|STAG3_-_99775579.23-P1P2",-3.81532160897609,6.5142539582361,232.740361807244,1.50567213036503e-52,1.74825264025717e-49
"ZC3H13","ZC3H13","ZC3H13_-_46626846.23-P1P2|ZC3H13_+_46626889.23-P1P2",3.91793983849906,7.5717596819742,216.259736951942,5.9191795370989e-49,6.18554261626835e-46
"KLF7","KLF7","KLF7_+_208031206.23-P1P2|KLF7_+_208030196.23-P1P2",4.52154152352955,6.12293219210551,210.481675296227,1.07839649947075e-47,1.02447667449721e-44
"CIAO1","CIAO1","CIAO1_-_96932005.23-P1P2|CIAO1_+_96932066.23-P1P2",-3.92858595512795,6.35885675391765,209.560937058101,1.71260560281117e-47,1.49139404578139e-44
"CLASRP","CLASRP","CLASRP_-_45542349.23-P1P2|CLASRP_-_45542376.23-P1P2",-3.06565754555331,7.76601898895007,208.530900697288,2.87333901984207e-47,2.30972251979612e-44
"LEPROTL1","LEPROTL1","LEPROTL1_+_29953187.23-P1P2|LEPROTL1_+_29952990.23-P1P2",-4.7270872025894,5.57952217394809,195.238303605784,2.28560906013895e-44,1.70604390560372e-41
"CHORDC1","CHORDC1","CHORDC1_-_89955982.23-P1P2|CHORDC1_-_89955894.23-P1P2",-3.23102134647897,7.19740018922537,192.92859204501,7.2963840884566e-44,5.08314758162476e-41
"POU3F1","POU3F1","POU3F1_+_38512447.23-P1P2|POU3F1_+_38512374.23-P1P2",-3.06794935806933,7.61870301796328,182.30094145309,1.52422356205025e-41,9.9550851396407e-39
"TRIM24","TRIM24","TRIM24_-_138145308.23-P1P2|TRIM24_+_138145572.23-P1P2",3.17315860883405,5.91654969025932,181.715653050053,2.04565903502353e-41,1.25747864211741e-38
"RNASE4","RNASE4","RNASE4_-_21152854.23-P1P2|RNASE4_+_21152724.23-P1P2",-4.16202488274502,5.81104541390424,181.078457535448,2.81807849282485e-41,1.63605112500109e-38
"ZDHHC17","ZDHHC17","ZDHHC17_-_77158277.23-P1P2|ZDHHC17_+_77158099.23-P1P2",-3.53040123628309,6.74505679266737,176.775540488334,2.45180058826317e-40,1.34849032354474e-37
"SBF1","SBF1","SBF1_+_50913422.23-P1P2|SBF1_+_50913049.23-P1P2",-3.31103818132073,5.91264903933235,176.424475837405,2.92512734968262e-40,1.52837904020917e-37
"UNCX","UNCX","UNCX_+_1272543.23-P1P2|UNCX_-_1272523.23-P1P2",3.4305543396062,6.70775785883518,175.75133741752,4.10332443613352e-40,2.04189239798073e-37
"BRI3","BRI3","BRI3_+_97911337.23-P1P2|BRI3_+_97911238.23-P1P2",-3.76764376806606,5.90192760726482,174.201296315757,8.9459249145075e-40,4.24931433439106e-37
"PAPOLG","PAPOLG","PAPOLG_+_60983709.23-P1P2|PAPOLG_-_60983780.23-P1P2",3.96971125614204,6.65294659542392,173.01620635178,1.62341651147306e-39,7.37595762821458e-37
"HECW2","HECW2","HECW2_+_197457831.23-P1P2|HECW2_-_197457789.23-P1P2",3.01286045923302,6.38080284040729,169.652281526926,8.81276348689072e-39,3.83722410158367e-36
"CALM2","CALM2","CALM2_-_47403900.23-P1P2|CALM2_+_47403695.23-P1P2",-3.14742866849561,7.15499982618896,163.095756411734,2.38397682675549e-37,9.96502313583795e-35
"KIAA1432","KIAA1432","KIAA1432_+_5629133.23-P1P2|KIAA1432_+_5629114.23-P1P2",-4.22381360804589,5.86248537310182,162.794164733919,2.77452700213445e-37,1.11514642970404e-34
"ATF4","ATF4","ATF4_-_39916548.23-P1P2|ATF4_-_39917038.23-P1P2",-4.01016291171663,5.87372586588927,155.269817524579,1.22244885226203e-35,4.73132981708822e-33
"PRMT2","PRMT2","PRMT2_-_48056006.23-P1P2|PRMT2_+_48055615.23-P1P2",6.94783346711429,5.66137935681167,154.641821022516,1.6767466214351e-35,6.25785792642744e-33
"FAM203A","FAM203A","FAM203A_-_145192776.23-ENST00000347708.4|FAM203A_+_145193123.23-ENST00000347708.4",-3.55189984628986,6.66204741848741,150.883982308237,1.11108145318081e-34,4.00372454680671e-32
"RASL10B","RASL10B","RASL10B_+_34058714.23-P1P2|RASL10B_-_34058722.23-P1P2",-2.58673907922499,6.33223400424903,150.201858070788,1.56616874636053e-34,5.4554877998225e-32
"HUWE1","HUWE1","HUWE1_-_53710518.23-P1P2|HUWE1_+_53710912.23-P1P2",3.0051356478588,5.81694427178061,144.414646709828,2.88360283667545e-33,9.72053214298661e-31
"negative_control.239","negative_control","non-targeting_01669|non-targeting_00505",3.0076623516187,6.22458405482019,144.254104724937,3.12633122218647e-33,1.02094253974527e-30
"SOCS5","SOCS5","SOCS5_-_46926441.23-P1P2|SOCS5_+_46926657.23-P1P2",2.97099453315418,6.64214681548628,142.934091670882,6.0763317253389e-33,1.92417171302399e-30
"SCN1B","SCN1B","SCN1B_-_35521391.23-P1P2|SCN1B_-_35521422.23-P1P2",-2.92929921356703,6.70277610264904,142.786295878279,6.54570657032111e-33,2.01184216646634e-30
"KCNJ4","KCNJ4","KCNJ4_+_38851571.23-P1P2|KCNJ4_+_38851618.23-P1P2",-2.70042454953,6.37043442078723,142.007130643856,9.68996415078649e-33,2.89314643930625e-30
"PTEN","PTEN","PTEN_+_89623582.23-P1P2|PTEN_-_89623526.23-P1P2",-3.48633880975834,6.28889617973127,141.49776041831,1.25227630347063e-32,3.63507982535226e-30
"HSD17B7.1","HSD17B7","HSD17B7_-_162760668.23-P2|HSD17B7_-_162760684.23-P2",-2.91670868996896,5.87217329997819,139.168766428651,4.04565692313782e-32,1.14262472558893e-29
"TARDBP","TARDBP","TARDBP_-_11072919.23-P1P2|TARDBP_+_11072781.23-P1P2",6.21752057667789,6.04629835139482,138.775994864148,4.930415235331e-32,1.35586418971602e-29
"ARMC7","ARMC7","ARMC7_+_73106080.23-P1P2|ARMC7_-_73106057.23-P1P2",-2.8871596206442,6.96204272312752,138.279161350678,6.33194991649933e-32,1.69663786224149e-29
"MED19","MED19","MED19_+_57479662.23-P1P2|MED19_+_57479647.23-P1P2",2.79636501222767,6.067038880256,137.75547920536,8.24263374858058e-32,2.15338806681668e-29
"AGPAT4","AGPAT4","AGPAT4_+_161694832.23-P1P2|AGPAT4_-_161695108.23-P1P2",-3.65378300105487,5.5909792408574,136.743432018473,1.37217004579843e-31,3.49736023868135e-29
"BPIFB1","BPIFB1","BPIFB1_-_31871071.23-P1P2|BPIFB1_-_31871026.23-P1P2",3.01561607434081,7.1186693326843,135.700187049309,2.32051911436316e-31,5.77367255835597e-29
"GET4","GET4","GET4_+_916235.23-P1P2|GET4_-_916288.23-P1P2",-4.76745639799384,7.79192113053913,134.644222223288,3.94963663164512e-31,9.59853553504452e-29
"S100A11","S100A11","S100A11_+_152009236.23-P1P2|S100A11_+_152009488.23-P1P2",-3.28783684541609,6.12532334284648,127.826412823822,1.22502056580785e-29,2.90942384379364e-27
