id
non-targeting_00642|non-targeting_00748
non-targeting_00718|non-targeting_01902
non-targeting_03631|non-targeting_02264
non-targeting_03705|non-targeting_01623
non-targeting_01469|non-targeting_02714
non-targeting_02459|non-targeting_01512
non-targeting_00166|non-targeting_02207
non-targeting_01967|non-targeting_00082
non-targeting_02577|non-targeting_00178
non-targeting_00954|non-targeting_00633
non-targeting_02829|non-targeting_01335
non-targeting_03368|non-targeting_02140
non-targeting_02691|non-targeting_01195
non-targeting_01981|non-targeting_01172
non-targeting_01227|non-targeting_02878
non-targeting_03783|non-targeting_02098
non-targeting_01498|non-targeting_01333
non-targeting_03484|non-targeting_02953
non-targeting_03306|non-targeting_03356
non-targeting_01779|non-targeting_03361
non-targeting_01298|non-targeting_02984
non-targeting_03347|non-targeting_03546
non-targeting_02578|non-targeting_02124
non-targeting_00518|non-targeting_03397
non-targeting_01136|non-targeting_01683
non-targeting_03639|non-targeting_01632
non-targeting_02417|non-targeting_03264
non-targeting_03129|non-targeting_01952
non-targeting_00550|non-targeting_00606
non-targeting_00013|non-targeting_01297
non-targeting_01348|non-targeting_02617
non-targeting_01288|non-targeting_02942
non-targeting_02442|non-targeting_01830
non-targeting_03670|non-targeting_01094
non-targeting_03045|non-targeting_02403
non-targeting_02896|non-targeting_03244
non-targeting_01527|non-targeting_03765
non-targeting_02830|non-targeting_02710
non-targeting_01493|non-targeting_00334
non-targeting_00652|non-targeting_02540
non-targeting_00827|non-targeting_02601
non-targeting_01460|non-targeting_02125
non-targeting_02799|non-targeting_02828
non-targeting_03479|non-targeting_01475
non-targeting_03552|non-targeting_01537
non-targeting_02513|non-targeting_00546
non-targeting_01736|non-targeting_01474
non-targeting_03554|non-targeting_01676
non-targeting_00698|non-targeting_02362
non-targeting_01890|non-targeting_03737
non-targeting_01684|non-targeting_01932
non-targeting_01831|non-targeting_03734
non-targeting_01668|non-targeting_00791
non-targeting_02514|non-targeting_02058
non-targeting_03424|non-targeting_00110
non-targeting_02309|non-targeting_00330
non-targeting_03171|non-targeting_03032
non-targeting_01908|non-targeting_03776
non-targeting_00497|non-targeting_01578
non-targeting_02570|non-targeting_01477
non-targeting_01948|non-targeting_02744
non-targeting_01655|non-targeting_03541
non-targeting_02816|non-targeting_02012
non-targeting_03068|non-targeting_00091
non-targeting_00702|non-targeting_02833
non-targeting_01538|non-targeting_00001
non-targeting_02823|non-targeting_00887
non-targeting_00169|non-targeting_03010
non-targeting_03617|non-targeting_01158
non-targeting_00010|non-targeting_02551
non-targeting_00179|non-targeting_00898
non-targeting_03473|non-targeting_00255
non-targeting_01992|non-targeting_00908
non-targeting_00797|non-targeting_01685
non-targeting_01757|non-targeting_01262
non-targeting_00340|non-targeting_03051
non-targeting_01550|non-targeting_03505
non-targeting_02433|non-targeting_01821
non-targeting_02243|non-targeting_00182
non-targeting_00852|non-targeting_02593
non-targeting_02049|non-targeting_03476
non-targeting_00635|non-targeting_02061
non-targeting_03012|non-targeting_03684
non-targeting_02900|non-targeting_03712
non-targeting_02668|non-targeting_03017
non-targeting_03560|non-targeting_02075
non-targeting_01242|non-targeting_03173
non-targeting_02608|non-targeting_01901
non-targeting_02957|non-targeting_00713
non-targeting_00998|non-targeting_00141
non-targeting_03751|non-targeting_00758
non-targeting_03197|non-targeting_01293
non-targeting_03750|non-targeting_03232
non-targeting_01425|non-targeting_00639
non-targeting_01833|non-targeting_01864
non-targeting_02354|non-targeting_01234
non-targeting_03158|non-targeting_03436
non-targeting_02293|non-targeting_03178
non-targeting_01679|non-targeting_03610
