sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
SLC2A3_+_8088348.23-P1P2|SLC2A3_+_8088875.23-P1P2	SLC2A3	2559	4430	3885	2372	1741	4890
TMEM120A_-_75623914.23-P1P2|TMEM120A_-_75623875.23-P1P2	TMEM120A	6295	2627	6505	2338	4958	3734
CDK2_-_56360602.23-P1P2|CDK2_+_56360661.23-P1P2	CDK2	6627	8439	5713	9429	4338	10349
LHX6_-_124976315.23-P2|LHX6_-_124976267.23-P2	LHX6	2484	2192	2723	2449	2731	2850
RAB7L1_+_205744567.23-P1P2|RAB7L1_+_205744572.23-P1P2	RAB7L1	3097	1612	3212	2213	3726	2343
KCNQ1_+_2466321.23-P1P2|KCNQ1_+_2466256.23-P1P2	KCNQ1	6367	4353	9699	4667	7635	8298
SIPA1L3_-_38397888.23-P1P2|SIPA1L3_+_38397892.23-P1P2	SIPA1L3	4939	6527	6827	4655	3970	5781
MBNL1_-_151987167.23-P1P2|MBNL1_-_151986997.23-P1P2	MBNL1	17075	14506	20816	15078	16714	14746
LEMD2_+_33756860.23-P1P2|LEMD2_-_33756816.23-P1P2	LEMD2	4118	4531	8249	4218	4301	4249
ARPC5_+_183604818.23-P1P2|ARPC5_-_183604444.23-P1P2	ARPC5	5604	4914	5231	5040	2615	6695
PRR16_-_119800123.23-P1|PRR16_+_119800068.23-P1	PRR16	5052	4473	7911	4135	4002	4195
RBM15_-_110882298.23-P1P2|RBM15_-_110882113.23-P1P2	RBM15	13092	14947	15863	13182	12556	1315
ELMSAN1_-_74226877.23-P1|ELMSAN1_-_74226893.23-P1	ELMSAN1	8946	8504	10003	6117	7875	8905
SLC4A3_-_220492382.23-P1P2|SLC4A3_-_220492391.23-P1P2	SLC4A3	5706	5272	6278	4296	5673	4898
CYP2R1_-_14913179.23-P1P2|CYP2R1_-_14913209.23-P1P2	CYP2R1	5608	7023	6100	3623	4334	4658
RADIL_+_4923271.23-P1P2|RADIL_+_4923267.23-P1P2	RADIL	16817	15607	21480	19184	13857	18582
NFIX_+_13134828.23-P2|NFIX_-_13134814.23-P2	NFIX	4107	3404	4801	3565	3466	2980
CCNB1_-_68463002.23-P1P2|CCNB1_+_68463036.23-P1P2	CCNB1	4449	5098	5352	3024	4037	4390
HSP90AA1_-_102553365.23-P1P2|HSP90AA1_+_102553357.23-P1P2	HSP90AA1	5847	5687	6136	5364	5126	4668
CDH11_+_65155957.23-P1P2|CDH11_+_65155929.23-P1P2	CDH11	4981	6660	6129	4114	2984	5763
TFAP2B_+_50786613.23-P1P2|TFAP2B_-_50786645.23-P1P2	TFAP2B	619	324	685	321	261	409
TMEM86B_-_55739745.23-P1P2|TMEM86B_-_55740143.23-P1P2	TMEM86B	3349	3050	2851	2383	1598	2700
MFSD9_+_103353303.23-P1P2|MFSD9_-_103353320.23-P1P2	MFSD9	1727	1962	1144	1628	1564	1806
N4BP3_+_177540617.23-P1P2|N4BP3_+_177540646.23-P1P2	N4BP3	9816	6960	10486	4896	9093	5076
YARS_+_33282894.23-P1P2|YARS_+_33282919.23-P1P2	YARS	4744	1805	4165	1995	4083	2059
