sgRNA	Gene	Low_1	Low_2	Low_3	High_1	High_2	High_3
SLC2A3_+_8088348.23-P1P2|SLC2A3_+_8088875.23-P1P2	SLC2A3	2385.1246632373	4603.146999288038	3097.156249022553	2734.7235022910977	1871.408352664592	4698.719750559411
TMEM120A_-_75623914.23-P1P2|TMEM120A_-_75623875.23-P1P2	TMEM120A	5867.276184087066	2729.676561428821	5185.843346175471	2695.524261533131	5329.375423613468	3587.9385579936284
CDK2_-_56360602.23-P1P2|CDK2_+_56360661.23-P1P2	CDK2	6176.717914526606	8768.8391708785	4554.453964135352	10870.871797260861	4662.934769591614	9944.182146940562
LHX6_-_124976315.23-P2|LHX6_-_124976267.23-P2	LHX6	2315.2206578669216	2277.6745423113725	2170.7996051707623	2823.4982534194346	2935.563590538197	2738.517646031559
RAB7L1_+_205744567.23-P1P2|RAB7L1_+_205744572.23-P1P2	RAB7L1	2886.5693950941454	1675.0051834881078	2560.6347160515934	2551.409405805312	4005.093349815204	2251.349770053313
KCNQ1_+_2466321.23-P1P2|KCNQ1_+_2466256.23-P1P2	KCNQ1	5934.384029242629	4523.137446478743	7732.128303544335	5380.672253453859	8206.894182994924	7973.410325182413
SIPA1L3_-_38397888.23-P1P2|SIPA1L3_+_38397892.23-P1P2	SIPA1L3	4603.411766990631	6782.108456964566	5442.5445848331965	5366.837227303989	4267.369994301223	5554.866846213488
MBNL1_-_151987167.23-P1P2|MBNL1_-_151986997.23-P1P2	MBNL1	15914.811889322742	15072.968481190132	16594.69870776151	17383.710357312466	17965.950147292355	14169.186388905742
LEMD2_+_33756860.23-P1P2|LEMD2_-_33756816.23-P1P2	LEMD2	3838.1959215362253	4708.0945945314	6576.175520768865	4863.011691679532	4623.163311206439	4082.793501048454
ARPC5_+_183604818.23-P1P2|ARPC5_-_183604444.23-P1P2	ARPC5	5223.22728127465	5106.064188375039	4170.199314964472	5810.710982945671	2810.8746939792695	6433.114259712732
PRR16_-_119800123.23-P1|PRR16_+_119800068.23-P1	PRR16	4708.733801748667	4647.827658649074	6306.718941059824	4767.31942747626	4301.766931282997	4030.9057982815402
RBM15_-_110882298.23-P1P2|RBM15_-_110882113.23-P1P2	RBM15	12202.443177453197	15531.205010916097	12646.123443563643	15197.776225632906	13496.498148223216	1263.561650712807
ELMSAN1_-_74226877.23-P1|ELMSAN1_-_74226893.23-P1	ELMSAN1	8338.149760578697	8836.379702470764	7974.479783519329	7052.404579896562	8464.87121035822	8556.666539617905
SLC4A3_-_220492382.23-P1P2|SLC4A3_-_220492391.23-P1P2	SLC4A3	5318.296728578363	5478.0566546831915	5004.876945009933	4952.939361653692	6097.93198429996	4706.4068176359915
