File	Label	Reads	Mapped	Percentage	TotalsgRNAs	Zerocounts	GiniIndex	NegSelQC	NegSelQCPval	NegSelQCPvalPermutation	NegSelQCPvalPermutationFDR	NegSelQCGene
../hits.JH8105_1_S1_L001_R1_001.fastq.gz	Low_1	43718952	43718952	1	21339	660	0.1004	0	1	1	1	0.0
../hits.JH8105_1_S1_L002_R1_001.fastq.gz	Low_1	45560656	45560656	1	21339	645	0.1	0	1	1	1	0.0
../hits.JH8105_2_S2_L001_R1_001.fastq.gz	Low_2	40553489	40553489	1	21339	596	0.09188	0	1	1	1	0.0
../hits.JH8105_2_S2_L002_R1_001.fastq.gz	Low_2	42377934	42377934	1	21339	598	0.09143	0	1	1	1	0.0
../hits.JH8105_3_S3_L001_R1_001.fastq.gz	Low_3	51495403	51495403	1	21339	733	0.1034	0	1	1	1	0.0
../hits.JH8105_3_S3_L002_R1_001.fastq.gz	Low_3	54023585	54023585	1	21339	700	0.1026	0	1	1	1	0.0
../hits.JH8105_4_S4_L001_R1_001.fastq.gz	High_1	37337429	37337429	1	21339	736	0.09782	0	1	1	1	0.0
../hits.JH8105_4_S4_L002_R1_001.fastq.gz	High_1	38986079	38986079	1	21339	732	0.09749	0	1	1	1	0.0
../hits.JH8105_5_S5_L001_R1_001.fastq.gz	High_2	37941677	37941677	1	21339	734	0.1063	0	1	1	1	0.0
../hits.JH8105_5_S5_L002_R1_001.fastq.gz	High_2	39892307	39892307	1	21339	704	0.1056	0	1	1	1	0.0
../hits.JH8105_6_S6_L001_R1_001.fastq.gz	High_3	44368672	44368672	1	21339	555	0.09241	0	1	1	1	0.0
../hits.JH8105_6_S6_L002_R1_001.fastq.gz	High_3	46403720	46403720	1	21339	526	0.09197	0	1	1	1	0.0
