sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
COG5_+_107204337.23-P1P2|COG5_+_107204333.23-P1P2	COG5	1.8802/144.71/1.0887	920.73/1033.9/572.45	1.8802	920.73	8.322	10200	193.11	66.121	1	0	0	0	True
C6orf106_+_34664012.23-P1P2|C6orf106_+_34664307.23-P1P2	C6orf106	59.226/1.5644/6.5321	611.73/1449.2/1983.2	6.5321	1449.2	7.589	1400.7	670.9	55.697	1	0	0	0	True
SCARA3_-_27491452.23-P1P2|SCARA3_-_27491439.23-P1P2	SCARA3	9.401/33.635/29.395	2982.4/2385.5/3141.1	29.395	2982.4	6.617	208.86	3019.1	53.745	1	0	0	0	True
INTS8_+_95835564.23-P1P2|INTS8_+_95835490.23-P1P2	INTS8	2.8203/0.78221/4.3548	832/1138.6/508.74	2.8203	832	7.7685	3.2542	289.67	48.719	1	0	0	0	True
MAP2K4_-_11924225.23-P1P2|MAP2K4_+_11924171.23-P1P2	MAP2K4	704.14/611.69/338.58	11558/13352/9410.3	611.69	11558	4.2377	41566	62825	43.673	1	0	0	0	True
NPRL2_+_50388166.23-P1P2|NPRL2_+_50388201.23-P1P2	NPRL2	36.664/17.209/222.09	1966.7/2646.1/2799.4	36.664	2646.1	6.1351	17381	3765.7	42.523	1	0	0	0	True
KCNJ18_-_21280051.23-P1P2|KCNJ18_-_21280171.23-P1P2	KCNJ18	1.8802/136.1/3.2661	779.8/2086.9/585.37	3.2661	779.8	7.5159	8823.9	335.45	42.398	1	0	0	0	True
DOCK6_-_11372730.23-P1P2|DOCK6_+_11372682.23-P1P2	DOCK6	40.424/24.248/316.81	2320.6/2542.6/3738.4	40.424	2542.6	5.9403	38325	4151.9	38.833	1	0	0	0	True
FDFT1_+_11660261.23-P1|FDFT1_+_11660315.23-P1	FDFT1	7.5208/148.62/3.2661	1132.6/1022/1073.8	7.5208	1073.8	6.9789	9963.4	772.44	38.365	1	4.1502e-322	8.3003e-322	1.968e-318	True
GET4_+_916235.23-P1P2|GET4_-_916288.23-P1P2	GET4	1529.5/1549.6/644.5	15497/16792/16645	1529.5	16645	3.4431	3.9185e+05	1.571e+05	38.137	1	1.5678e-318	3.1355e-318	6.6909e-315	True
