id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RANBP1	1	2.3935e-05	2.7011e-07	0.000225	1	1	-5.1088	0.99998	1.0	1.0	18327	0	-5.1088
ZC3H13	1	7.1805e-05	2.7011e-07	0.000225	2	1	-4.2393	0.99993	1.0	1.0	18326	0	-4.2393
FADS2	2	7.3013e-05	7.8331e-06	0.006242	3	2	-1.4666	0.99993	0.99999	1.0	18325	0	-1.4666
CCNC	1	0.00011967	2.7011e-07	0.000225	4	1	-4.8663	0.99988	1.0	1.0	18324	0	-4.8663
GCN1L1	1	0.00016754	2.7011e-07	0.000225	5	1	-2.0004	0.99983	1.0	1.0	18323	0	-2.0004
LARP6	1	0.00021541	2.7011e-07	0.000225	6	1	-4.1303	0.99978	1.0	1.0	18322	0	-4.1303
RBL2	2	0.00024428	1.1074e-05	0.008457	7	2	-1.2486	0.99976	0.99999	1.0	18321	0	-1.2486
KIAA1919	1	0.00026328	2.7011e-07	0.000225	8	1	-5.4142	0.99974	1.0	1.0	18320	0	-5.4142
PPP1R37	1	0.00035902	2.7011e-07	0.000225	9	1	-2.4875	0.99964	1.0	1.0	18319	0	-2.4875
GAREML	2	0.00038614	1.1615e-05	0.008515	10	2	-1.5105	0.99961	0.99999	1.0	18318	0	-1.5105
BPIFB1	1	0.00040689	2.7011e-07	0.000225	11	1	-2.9922	0.99959	1.0	1.0	18317	0	-2.9922
NRARP	1	0.00045476	2.7011e-07	0.000225	12	1	-2.6003	0.99955	1.0	1.0	18316	0	-2.6003
STMN2	1	0.00050263	2.7011e-07	0.000225	13	1	-5.463	0.9995	1.0	1.0	18315	0	-5.463
PAPOLG	1	0.0005505	2.7011e-07	0.000225	14	1	-3.9701	0.99945	1.0	1.0	18314	0	-3.9701
UNCX	1	0.00059837	2.7011e-07	0.000225	15	1	-3.5969	0.9994	1.0	1.0	18313	0	-3.5969
HIC2	2	0.00062221	6.5636e-05	0.046268	16	1	-0.70253	0.48959	0.34544	0.769887	9025	1	-0.70253
EP300	1	0.00064624	2.7011e-07	0.000225	17	1	-3.1723	0.99935	1.0	1.0	18312	0	-3.1723
SDR16C5	1	0.00069411	2.7011e-07	0.000225	18	1	-2.313	0.99931	1.0	1.0	18311	0	-2.313
EIF2AK4	1	0.00074198	2.7011e-07	0.000225	19	1	-1.4351	0.99926	1.0	1.0	18310	0	-1.4351
HNRNPA3	1	0.00078985	2.7011e-07	0.000225	20	1	-2.8302	0.99921	1.0	1.0	18309	0	-2.8302
SOCS5	1	0.00083772	2.7011e-07	0.000225	21	1	-2.9339	0.99916	1.0	1.0	18308	0	-2.9339
TARDBP	1	0.00088559	2.7011e-07	0.000225	22	1	-5.8541	0.99911	1.0	1.0	18307	0	-5.8541
C9orf41	1	0.00093346	2.7011e-07	0.000225	23	1	-1.5189	0.99907	1.0	1.0	18306	0	-1.5189
KLF7	1	0.00098133	2.7011e-07	0.000225	24	1	-4.276	0.99902	1.0	1.0	18305	0	-4.276
TCEB3	1	0.0010292	2.7011e-07	0.000225	25	1	-2.6097	0.99897	1.0	1.0	18304	0	-2.6097
HECW2	1	0.0010771	2.7011e-07	0.000225	26	1	-3.1215	0.99892	1.0	1.0	18303	0	-3.1215
SUPT20H	1	0.0011728	0.00093646	0.17868	27	1	-1.9191	0.99883	0.99906	1.0	18302	0	-1.9191
PRMT2	1	0.0012207	0.00093646	0.17868	28	1	-7.2931	0.99878	0.99906	1.0	18301	0	-7.2931
AP3B1	1	0.0012685	0.00093646	0.17868	29	1	-1.1596	0.99873	0.99906	1.0	18300	0	-1.1596
TMX2	1	0.0013164	0.00093646	0.17868	30	1	-4.161	0.99868	0.99906	1.0	18299	0	-4.161
HSPG2	1	0.0013643	0.00093646	0.17868	31	1	-0.96438	0.99864	0.99906	1.0	18298	0	-0.96438
FOXO4	1	0.0014122	0.00093646	0.17868	32	1	-1.7492	0.99859	0.99906	1.0	18297	0	-1.7492
KDM3B	1	0.0015079	0.00093646	0.17868	33	1	-2.1607	0.99849	0.99906	1.0	18296	0	-2.1607
GYLTL1B	1	0.0015558	0.00093646	0.17868	34	1	-2.0028	0.99844	0.99906	1.0	18295	0	-2.0028
PRKAR2A	1	0.0016036	0.00093646	0.17868	35	1	-1.829	0.9984	0.99906	1.0	18294	0	-1.829
FAM171A1	1	0.0016515	0.00093646	0.17868	36	1	-1.345	0.99835	0.99906	1.0	18293	0	-1.345
HDAC2	1	0.0016994	0.00093646	0.17868	37	1	-2.6295	0.9983	0.99906	1.0	18292	0	-2.6295
TRIM24	1	0.0017472	0.00093646	0.17868	38	1	-3.1506	0.99825	0.99906	1.0	18291	0	-3.1506
USP32	1	0.0017951	0.00093646	0.17868	39	1	-3.097	0.9982	0.99906	1.0	18290	0	-3.097
TADA1	1	0.001843	0.00093646	0.17868	40	1	-1.7448	0.99816	0.99906	1.0	18289	0	-1.7448
SUFU	1	0.0018909	0.00093646	0.17868	41	1	-1.3905	0.99811	0.99906	1.0	18288	0	-1.3905
TNRC6A	1	0.0019387	0.00093646	0.17868	42	1	-1.4933	0.99806	0.99906	1.0	18287	0	-1.4933
PIGZ	1	0.0019866	0.00093646	0.17868	43	1	-0.88664	0.99801	0.99906	1.0	18286	0	-0.88664
EFEMP1	1	0.0020345	0.00093646	0.17868	44	1	-1.6956	0.99797	0.99906	1.0	18285	0	-1.6956
C1orf56	1	0.0020823	0.00093646	0.17868	45	1	-1.2915	0.99792	0.99906	1.0	18284	0	-1.2915
MED12	1	0.0021302	0.00093646	0.17868	46	1	-1.6045	0.99787	0.99906	1.0	18283	0	-1.6045
MED19	1	0.0021781	0.00093646	0.17868	47	1	-2.645	0.99782	0.99906	1.0	18282	0	-2.645
COPRS	1	0.0022259	0.00093646	0.17868	48	1	-1.4749	0.99777	0.99906	1.0	18281	0	-1.4749
TAF6L	1	0.0022738	0.00093646	0.17868	49	1	-2.3356	0.99773	0.99906	1.0	18280	0	-2.3356
POM121L12	1	0.0023217	0.00093646	0.17868	50	1	-2.3228	0.99768	0.99906	1.0	18279	0	-2.3228
NANOS3	1	0.0023696	0.00093646	0.17868	51	1	-1.6912	0.99763	0.99906	1.0	18278	0	-1.6912
MLLT3	1	0.0024174	0.00093646	0.17868	52	1	-1.7228	0.99758	0.99906	1.0	18277	0	-1.7228
MED13	1	0.0024653	0.000937	0.17868	53	1	-1.3828	0.99753	0.99906	1.0	18276	0	-1.3828
