sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
MAP2K4_-_11924225.23-P1P2|MAP2K4_+_11924171.23-P1P2	MAP2K4	577.87/391.43/813.7	28066/32343/35188	577.87	32343	5.8041	45188	46459	147.37	1	0	0	0	True
CNOT3_+_54641532.23-P1P2|CNOT3_-_54641691.23-P1P2	CNOT3	404.51/19.133/17.198	4192.7/5105.1/5046.6	19.133	5046.6	7.9699	74260	1282	140.41	1	0	0	0	True
UBE3C_-_156932395.23-P1P2|UBE3C_-_156931660.23-P1P2	UBE3C	210.64/55.007/1012.6	16754/16835/14718	210.64	16754	6.3068	3.3365e+05	16045	130.61	1	0	0	0	True
C6orf106_+_34664012.23-P1P2|C6orf106_+_34664307.23-P1P2	C6orf106	340.2/7.9721/18.273	2924/4095.2/4638.2	18.273	4095.2	7.7315	51871	1221.4	116.66	1	0	0	0	True
EIF3J_+_44829331.23-P1P2|EIF3J_-_44829398.23-P1P2	EIF3J	97.866/7.9721/6.4494	2282.9/2387.7/3549.5	7.9721	2387.7	8.0566	4041.6	509.76	105.4	1	0	0	0	True
SHF_+_45493289.23-P2|SHF_-_45493253.23-P2	SHF	1.8641/3.986/9.6741	1646.9/2120.2/1211.7	3.986	1646.9	8.3686	18.429	245.63	104.83	1	0	0	0	True
BCCIP_-_127512165.23-P1P2|BCCIP_+_127512151.23-P1P2	BCCIP	2.7962/3.1888/203.16	683.72/1360.4/1704.6	3.1888	1360.4	8.3444	19994	194.18	97.401	1	0	0	0	True
ATF2_+_176032892.23-P1P2|ATF2_+_176032497.23-P1P2	ATF2	726.07/1185.4/733.08	23990/24320/24955	733.08	24320	5.0501	1.0234e+05	59694	96.539	1	0	0	0	True
CUL2_+_35379233.23-P1P2|CUL2_+_35379513.23-P1P2	CUL2	4.6603/3.986/8.5992	2432.5/1642.9/1462.5	4.6603	1642.9	8.182	7.985	289.58	96.272	1	0	0	0	True
CNOT2_-_70637260.23-P1P2|CNOT2_+_70637651.23-P1P2	CNOT2	123.03/4.7833/5.3745	3003/1751.3/317.09	5.3745	1751.3	8.1027	6921.7	336.51	95.175	1	0	0	0	True
ZNF784_+_56135894.23-P1P2|ZNF784_-_56135887.23-P1P2	ZNF784	3.7282/7.1749/326.77	665.01/1902.3/1937.1	7.1749	1902.3	7.8631	51077	456.21	88.728	1	0	0	0	True
GET4_+_916235.23-P1P2|GET4_-_916288.23-P1P2	GET4	2045.9/541.3/1925.2	34849/38821/35778	1925.2	35778	4.2153	9.648e+05	1.6508e+05	83.318	1	0	0	0	True
