sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
DTYMK_+_242626191.23-P1P2|DTYMK_+_242626160.23-P1P2	DTYMK	83.717	1424.9	83.717	1424.9	4.0731	8.9941e+05	378.92	68.9	1	0	0	0	True
ESPL1_-_53662296.23-P1P2|ESPL1_-_53662083.23-P1P2	ESPL1	2.0419	112.81	2.0419	112.81	5.2255	6134.3	4.7451	50.848	1	0	0	0	True
RBM14-RBM4_+_66384103.23-P1|RBM14-RBM4_-_66384112.23-P1	RBM14-RBM4	63.298	843.08	63.298	843.08	3.7145	3.0403e+05	270.63	47.4	1	0	0	0	True
SMC1B_-_45809096.23-P1P2|SMC1B_-_45809130.23-P1P2	SMC1B	16.335	331.49	16.335	331.49	4.2616	49662	53.764	42.981	1	0	0	0	True
ZC3H13_-_46626846.23-P1P2|ZC3H13_+_46626889.23-P1P2	ZC3H13	471.67	2759.8	471.67	2759.8	2.5462	2.6177e+06	3096.1	41.122	1	0	0	0	True
MAEA_-_1283916.23-P1|MAEA_+_1283762.23-P1	MAEA	177.64	1417	177.64	1417	2.9887	7.68e+05	941.58	40.389	1	0	0	0	True
YAE1D1_+_39606256.23-P1P2|YAE1D1_-_39606026.23-P1P2	YAE1D1	33.691	455.18	33.691	455.18	3.717	88827	127.13	37.382	1	3.8944e-306	7.7887e-306	2.3743e-302	True
UBE2H_+_129592745.23-P1P2|UBE2H_+_129592365.23-P1P2	UBE2H	155.18	1189.4	155.18	1189.4	2.9301	5.3481e+05	799.15	36.585	1	2.4941e-293	4.9883e-293	1.3306e-289	True
YPEL5_-_30369859.23-P1P2|YPEL5_-_30369815.23-P1P2	YPEL5	56.152	611.53	56.152	611.53	3.4219	1.5422e+05	234.36	36.278	1	1.7729e-288	3.5457e-288	8.4069e-285	True
PRC1_+_91537740.23-P1P2|PRC1_+_91537748.23-P1P2	PRC1	54.11	577.88	54.11	577.88	3.3929	1.3717e+05	224.16	34.983	1	2.024e-268	4.0481e-268	8.6381e-265	True
MAVS_+_3827936.23-P1|MAVS_+_3827544.23-P1	MAVS	45.942	507.63	45.942	507.63	3.4376	1.0658e+05	184.23	34.015	1	6.748e-254	1.3496e-253	2.6181e-250	True
CLDN8_+_31587998.23-P1P2|CLDN8_-_31588365.23-P1P2	CLDN8	0	50.466	1.0209	50.466	4.6705	1273.4	2.1467	33.747	1	7.7519e-250	1.5504e-249	2.7569e-246	True
METTL6_-_15468937.23-P1P2|METTL6_-_15468648.23-P1P2	METTL6	19.398	274.1	19.398	274.1	3.7535	32436	65.906	31.374	1	2.3299e-216	4.6598e-216	7.6489e-213	True
RBX1_-_41347436.23-P1P2|RBX1_+_41347427.23-P1P2	RBX1	14.293	222.64	14.293	222.64	3.8702	21705	45.91	30.75	1	6.3018e-208	1.2604e-207	1.9211e-204	True
CANX_+_179126015.23-P1|CANX_-_179125988.23-P1	CANX	157.22	1012.3	157.22	1012.3	2.679	3.6556e+05	811.92	30.008	1	3.8405e-198	7.6809e-198	1.0927e-194	True
ORAOV1_+_69490047.23-P1P2|ORAOV1_-_69490100.23-P1P2	ORAOV1	34.712	373.05	34.712	373.05	3.3888	57237	131.75	29.477	1	2.8528e-191	5.7055e-191	7.6094e-188	True
DBR1_+_137893744.23-P1P2|DBR1_+_137893673.23-P1P2	DBR1	0	43.539	1.0209	43.539	4.462	947.83	2.1467	29.02	1	2.4578e-185	4.9157e-185	6.1703e-182	True
non-targeting_00265|non-targeting_00888	negative_control	0	42.55	1.0209	42.55	4.4296	905.23	2.1467	28.344	1	6.5085e-177	1.3017e-176	1.5432e-173	True
