id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CCNC	1	2.3716e-05	2.6748e-07	0.000198	1	1	-4.8359	0.99998	1.0	1.0	18507	0	-4.8359
RANBP1	1	7.1147e-05	2.6748e-07	0.000198	2	1	-4.2019	0.99993	1.0	1.0	18506	0	-4.2019
FADS2	2	7.7415e-05	1.7386e-05	0.012376	3	2	-1.4143	0.99992	0.99998	1.0	18505	0	-1.4143
C19orf68	1	0.00011858	2.6748e-07	0.000198	4	1	-2.2485	0.99988	1.0	1.0	18504	0	-2.2485
COX20	1	0.00021344	2.6748e-07	0.000198	5	1	-2.1288	0.99979	1.0	1.0	18503	0	-2.1288
LARP6	1	0.00026087	2.6748e-07	0.000198	6	1	-5.7654	0.99974	1.0	1.0	18502	0	-5.7654
GCN1L1	1	0.00030831	2.6748e-07	0.000198	7	1	-1.9813	0.99969	1.0	1.0	18501	0	-1.9813
HIC2	2	0.00033199	3.7714e-05	0.025853	8	1	-0.98724	0.87944	0.87628	1.0	16229	0	-0.98724
ZC3H13	1	0.00035574	2.6748e-07	0.000198	9	1	-1.7801	0.99964	1.0	1.0	18500	0	-1.7801
EIF2AK4	1	0.00040317	2.6748e-07	0.000198	10	1	-1.6712	0.9996	1.0	1.0	18499	0	-1.6712
STMN2	1	0.0004506	2.6748e-07	0.000198	11	1	-6.6652	0.99955	1.0	1.0	18498	0	-6.6652
SPNS1	1	0.00049803	2.6748e-07	0.000198	12	1	-1.187	0.9995	1.0	1.0	18497	0	-1.187
SDR16C5	1	0.00054546	2.6748e-07	0.000198	13	1	-2.1079	0.99945	1.0	1.0	18496	0	-2.1079
NRARP	1	0.00059289	2.6748e-07	0.000198	14	1	-2.2433	0.99941	1.0	1.0	18495	0	-2.2433
TARDBP	1	0.00064033	2.6748e-07	0.000198	15	1	-7.1561	0.99936	1.0	1.0	18494	0	-7.1561
APOM	1	0.00068776	2.6748e-07	0.000198	16	1	-2.2701	0.99931	1.0	1.0	18493	0	-2.2701
MAPK14	1	0.00073519	2.6748e-07	0.000198	17	1	-2.4278	0.99926	1.0	1.0	18492	0	-2.4278
KLF7	1	0.00078262	2.6748e-07	0.000198	18	1	-4.6423	0.99922	1.0	1.0	18491	0	-4.6423
UNCX	1	0.00083005	2.6748e-07	0.000198	19	1	-2.1537	0.99917	1.0	1.0	18490	0	-2.1537
STRBP	1	0.00087748	2.6748e-07	0.000198	20	1	-1.0045	0.99912	1.0	1.0	18489	0	-1.0045
PAPOLG	1	0.00092492	2.6748e-07	0.000198	21	1	-3.164	0.99908	1.0	1.0	18488	0	-3.164
ZHX3	1	0.00097235	2.6748e-07	0.000198	22	1	-1.5028	0.99903	1.0	1.0	18487	0	-1.5028
EFEMP1	1	0.0010198	2.6748e-07	0.000198	23	1	-2.0995	0.99898	1.0	1.0	18486	0	-2.0995
PPP1R37	1	0.0010672	2.6748e-07	0.000198	24	1	-1.9087	0.99893	1.0	1.0	18485	0	-1.9087
MAP3K4	1	0.0011146	2.6748e-07	0.000198	25	1	-3.0873	0.99889	1.0	1.0	18484	0	-3.0873
TTI1	1	0.0011621	2.6748e-07	0.000198	26	1	-4.3272	0.99884	1.0	1.0	18483	0	-4.3272
ZIK1	1	0.0012095	2.6748e-07	0.000198	27	1	-2.2942	0.99879	1.0	1.0	18482	0	-2.2942
THAP11	1	0.0013044	0.0009787	0.313768	28	1	-2.2014	0.9987	0.99902	1.0	18481	0	-2.2014
TAF12	1	0.0013992	0.0009787	0.313768	29	1	-4.3141	0.9986	0.99902	1.0	18480	0	-4.3141
KIAA0232	1	0.0014467	0.0009787	0.313768	30	1	-1.6353	0.99855	0.99902	1.0	18479	0	-1.6353
FBXW4	1	0.0014941	0.0009787	0.313768	31	1	-5.8654	0.99851	0.99902	1.0	18478	0	-5.8654
CEACAM16	2	0.0015294	0.0003405	0.225071	32	2	-0.82546	0.99847	0.99966	1.0	18477	0	-0.82546
RRBP1	1	0.0015415	0.0009787	0.313768	33	1	-1.7475	0.99846	0.99902	1.0	18476	0	-1.7475
PIGZ	1	0.001589	0.0009787	0.313768	34	1	-0.84928	0.99841	0.99902	1.0	18475	0	-0.84928
GYLTL1B	1	0.0016364	0.0009787	0.313768	35	1	-1.9952	0.99836	0.99902	1.0	18474	0	-1.9952
CD81	2	0.0016581	0.00038223	0.24394	36	2	-0.82464	0.99834	0.99962	1.0	18473	0	-0.82464
DLL1	1	0.0017313	0.00097924	0.313768	37	1	-3.1109	0.99827	0.99902	1.0	18472	0	-3.1109
SUPT20H	1	0.0017787	0.00097924	0.313768	38	1	-1.547	0.99822	0.99902	1.0	18471	0	-1.547
KDELC2	1	0.0018261	0.00097924	0.313768	39	1	-3.1559	0.99817	0.99902	1.0	18470	0	-3.1559
CTNNB1	1	0.0018735	0.00097924	0.313768	40	1	-2.0442	0.99813	0.99902	1.0	18469	0	-2.0442
MED19	1	0.001921	0.00097924	0.313768	41	1	-2.6038	0.99808	0.99902	1.0	18468	0	-2.6038
NANOS3	1	0.0019684	0.00097924	0.313768	42	1	-1.8958	0.99803	0.99902	1.0	18467	0	-1.8958
MED12	1	0.0020158	0.00097924	0.313768	43	1	-1.569	0.99798	0.99902	1.0	18466	0	-1.569
NAA25	1	0.0021107	0.001978	0.313768	44	1	-2.6532	0.99789	0.99802	1.0	18465	0	-2.6532
UBA2	1	0.0021581	0.001978	0.313768	45	1	-2.4159	0.99784	0.99802	1.0	18464	0	-2.4159
FAM174A	1	0.0022056	0.001978	0.313768	46	1	-2.5419	0.99779	0.99802	1.0	18463	0	-2.5419
MSMB	2	0.0022385	0.00054967	0.313768	47	2	-0.85078	0.99776	0.99945	1.0	18462	0	-0.85078
H2AFB1	1	0.0023004	0.001978	0.313768	48	1	-1.5852	0.9977	0.99802	1.0	18461	0	-1.5852
MED29	1	0.0023479	0.001978	0.313768	49	1	-2.0066	0.99765	0.99802	1.0	18460	0	-2.0066
NAA20	1	0.0023953	0.001978	0.313768	50	1	-1.8513	0.9976	0.99802	1.0	18459	0	-1.8513
RBM4	1	0.0024427	0.001978	0.313768	51	1	-2.2227	0.99756	0.99802	1.0	18458	0	-2.2227
GTF2A2	1	0.0024902	0.001978	0.313768	52	1	-2.0637	0.99751	0.99802	1.0	18457	0	-2.0637
BTAF1	1	0.0025376	0.001978	0.313768	53	1	-1.5623	0.99746	0.99802	1.0	18456	0	-1.5623
RASAL2	1	0.002585	0.001978	0.313768	54	1	-4.2526	0.99741	0.99802	1.0	18455	0	-4.2526
AMBRA1	1	0.0026325	0.001978	0.313768	55	1	-2.4768	0.99737	0.99802	1.0	18454	0	-2.4768
EIF5AL1	1	0.0026799	0.001978	0.313768	56	1	-2.9184	0.99732	0.99802	1.0	18453	0	-2.9184
LETM2	2	0.0027018	0.0025108	0.313768	57	1	-1.098	0.85629	0.85181	1.0	15802	0	-1.098
TCEB3	1	0.0027273	0.001978	0.313768	58	1	-1.9954	0.99727	0.99802	1.0	18452	0	-1.9954
GSTO1	1	0.0027747	0.001978	0.313768	59	1	-3.5894	0.99723	0.99802	1.0	18451	0	-3.5894
EP300	1	0.0028222	0.001978	0.313768	60	1	-1.5286	0.99718	0.99802	1.0	18450	0	-1.5286
HDAC2	1	0.0028696	0.001978	0.313768	61	1	-2.0643	0.99713	0.99802	1.0	18449	0	-2.0643
ANKHD1-EIF4EBP3	1	0.002917	0.001978	0.313768	62	1	-1.109	0.99708	0.99802	1.0	18448	0	-1.109
KDM3B	1	0.0029645	0.001978	0.313768	63	1	-1.3564	0.99704	0.99802	1.0	18447	0	-1.3564
TAF4	1	0.0030119	0.001978	0.313768	64	1	-4.2107	0.99699	0.99802	1.0	18446	0	-4.2107
VSIG10L	2	0.0030665	0.0025622	0.313768	65	2	-0.62183	0.99693	0.99935	1.0	18445	0	-0.62183
LEO1	1	0.0031542	0.001978	0.313768	66	1	-3.1511	0.99685	0.99802	1.0	18444	0	-3.1511
MAGEA10	1	0.0032016	0.001978	0.313768	67	1	-1.8136	0.9968	0.99802	1.0	18443	0	-1.8136
CDKN1C	1	0.0032491	0.001978	0.313768	68	1	-1.3285	0.99675	0.99802	1.0	18442	0	-1.3285
VAMP2	1	0.0032965	0.001978	0.313768	69	1	-0.95979	0.9967	0.99802	1.0	18441	0	-0.95979
CPEB1	2	0.0033648	0.0027061	0.313768	70	1	-0.86645	0.85506	0.8496	1.0	15778	0	-0.86645
ACSM5	1	0.0033914	0.001978	0.313768	71	1	-2.177	0.99661	0.99802	1.0	18440	0	-2.177
ZC3H18	1	0.0034388	0.001978	0.313768	72	1	-2.8796	0.99656	0.99802	1.0	18439	0	-2.8796
HUWE1	1	0.0034862	0.001978	0.313768	73	1	-2.3287	0.99651	0.99802	1.0	18438	0	-2.3287
TRIM33	1	0.0036285	0.001978	0.313768	74	1	-1.5626	0.99637	0.99802	1.0	18437	0	-1.5626
LLGL1	1	0.0036759	0.001978	0.313768	75	1	-0.84944	0.99632	0.99802	1.0	18436	0	-0.84944
CHRNA4	1	0.0037234	0.001978	0.313768	76	1	-1.0445	0.99628	0.99802	1.0	18435	0	-1.0445
TBCA	1	0.0037708	0.001978	0.313768	77	1	-2.4241	0.99623	0.99802	1.0	18434	0	-2.4241
SIRT7	1	0.0038182	0.001978	0.313768	78	1	-3.0705	0.99618	0.99802	1.0	18433	0	-3.0705
CLDND1	1	0.0038657	0.001978	0.313768	79	1	-1.9209	0.99613	0.99802	1.0	18432	0	-1.9209
URI1	1	0.0039131	0.001978	0.313768	80	1	-1.2839	0.99609	0.99802	1.0	18431	0	-1.2839
CCNF	1	0.004008	0.0019785	0.313768	81	1	-0.89895	0.99599	0.99802	1.0	18430	0	-0.89895
PDCD5	1	0.0040554	0.0019785	0.313768	82	1	-1.2344	0.99594	0.99802	1.0	18429	0	-1.2344
MED13	1	0.0041028	0.0019785	0.313768	83	1	-1.1543	0.9959	0.99802	1.0	18428	0	-1.1543
DENND6B	1	0.0041503	0.0019785	0.313768	84	1	-2.9054	0.99585	0.99802	1.0	18427	0	-2.9054
PFDN4	1	0.0041977	0.0019785	0.313768	85	1	-4.2476	0.9958	0.99802	1.0	18426	0	-4.2476
TAF6L	1	0.0042451	0.0019785	0.313768	86	1	-1.8742	0.99575	0.99802	1.0	18425	0	-1.8742
C10orf95	1	0.0042926	0.0019785	0.313768	87	1	-1.2828	0.99571	0.99802	1.0	18424	0	-1.2828
MED13L	1	0.00434	0.0019785	0.313768	88	1	-1.5431	0.99566	0.99802	1.0	18423	0	-1.5431
SMARCA5	1	0.0044349	0.0019785	0.313768	89	1	-1.7253	0.99557	0.99802	1.0	18422	0	-1.7253
CUEDC1	1	0.0044823	0.0019785	0.313768	90	1	-2.8232	0.99552	0.99802	1.0	18421	0	-2.8232
MED15	2	0.0045009	0.0050289	0.320677	91	1	-1.0265	0.56153	0.49363	0.928494	10372	1	-1.0265
ZNF396	1	0.0045771	0.0019785	0.313768	92	1	-1.5626	0.99542	0.99802	1.0	18420	0	-1.5626
FAM20C	1	0.0046246	0.0019785	0.313768	93	1	-1.5091	0.99538	0.99802	1.0	18419	0	-1.5091
VPS45	1	0.004672	0.0019785	0.313768	94	1	-2.0706	0.99533	0.99802	1.0	18418	0	-2.0706
YIPF4	1	0.0047194	0.0019785	0.313768	95	1	-2.0946	0.99528	0.99802	1.0	18417	0	-2.0946
ADAM10	1	0.0047669	0.0019785	0.313768	96	1	-1.4008	0.99523	0.99802	1.0	18416	0	-1.4008
ADNP2	1	0.0048143	0.0019785	0.313768	97	1	-3.3735	0.99519	0.99802	1.0	18415	0	-3.3735
ADO	1	0.0048617	0.0019785	0.313768	98	1	-1.5527	0.99514	0.99802	1.0	18414	0	-1.5527
ZFYVE20	1	0.0049092	0.0019785	0.313768	99	1	-3.412	0.99509	0.99802	1.0	18413	0	-3.412
APTX	2	0.0049112	0.0052926	0.320677	100	2	-0.77584	0.99509	0.99849	1.0	18412	0	-0.77584
LYSMD2	1	0.0049566	0.0019785	0.313768	101	1	-2.1317	0.99504	0.99802	1.0	18411	0	-2.1317
PPP2CB	1	0.005004	0.0019785	0.313768	102	1	-1.2296	0.995	0.99802	1.0	18410	0	-1.2296
SPATA33	1	0.0050515	0.0019785	0.313768	103	1	-0.72681	0.99495	0.99802	1.0	18409	0	-0.72681
LRRK2	1	0.0050989	0.0019785	0.313768	104	1	-1.205	0.9949	0.99802	1.0	18408	0	-1.205
RPRD2	1	0.0051463	0.0019785	0.313768	105	1	-2.9124	0.99485	0.99802	1.0	18407	0	-2.9124
ARL2	1	0.0051938	0.0019785	0.313768	106	1	-1.8694	0.99481	0.99802	1.0	18406	0	-1.8694
CTDSPL2	1	0.0052412	0.0019785	0.313768	107	1	-2.1646	0.99476	0.99802	1.0	18405	0	-2.1646
ARHGEF5	1	0.0052886	0.0019785	0.313768	108	1	-1.6347	0.99471	0.99802	1.0	18404	0	-1.6347
WDR61	1	0.0053361	0.0019785	0.313768	109	1	-6.3722	0.99466	0.99802	1.0	18403	0	-6.3722
SLC29A4	1	0.0054309	0.0019785	0.313768	110	1	-2.9078	0.99457	0.99802	1.0	18402	0	-2.9078
PARP12	1	0.0054783	0.0019785	0.313768	111	1	-1.6784	0.99452	0.99802	1.0	18401	0	-1.6784
FMR1	1	0.0055258	0.0019785	0.313768	112	1	-0.49769	0.99447	0.99802	1.0	18400	0	-0.49769
WWOX	1	0.0055732	0.0019785	0.313768	113	1	-1.8178	0.99443	0.99802	1.0	18399	0	-1.8178
HDAC9	2	0.0055914	0.0055943	0.320677	114	2	-0.74831	0.99441	0.99817	1.0	18398	0	-0.74831
TBC1D19	1	0.0056206	0.0019785	0.313768	115	1	-1.5126	0.99438	0.99802	1.0	18397	0	-1.5126
INSM1	1	0.0056681	0.0019785	0.313768	116	1	-1.2558	0.99433	0.99802	1.0	18396	0	-1.2558
YBX2	1	0.0057155	0.0019785	0.313768	117	1	-0.78906	0.99428	0.99802	1.0	18395	0	-0.78906
